itemid,label,category,fluid,tracked,n_rows,units,loinc
51221,Hematocrit,Hematology,Blood,yes,881764,%;,4544-3
50971,Potassium,Chemistry,Blood,yes,845737,mEq/L;,2823-3
50983,Sodium,Chemistry,Blood,yes,808401,mEq/L;,2951-2
50912,Creatinine,Chemistry,Blood,yes,797389,mg/dL;,2160-0
50902,Chloride,Chemistry,Blood,,795480,mEq/L;,2075-0
51006,Urea Nitrogen,Chemistry,Blood,yes,791838,mg/dL;,3094-0
50882,Bicarbonate,Chemistry,Blood,yes,780648,mEq/L;,1963-8
51265,Platelet Count,Hematology,Blood,,778365,K/uL;,777-3
50868,Anion Gap,Chemistry,Blood,,769810,mEq/L;,1863-0
51301,White Blood Cells,Hematology,Blood,yes,753221,K/uL;,804-5
51222,Hemoglobin,Hematology,Blood,,752444,g/dL;,718-7
50931,Glucose,Chemistry,Blood,,748896,mg/dL;,2345-7
51249,MCHC,Hematology,Blood,,748147,%;,786-4
51279,Red Blood Cells,Hematology,Blood,,747999,m/uL;,789-8
51248,MCH,Hematology,Blood,,747994,pg;,785-6
51250,MCV,Hematology,Blood,,747977,fL;,787-2
51277,RDW,Hematology,Blood,,746817,%;,788-0
50960,Magnesium,Chemistry,Blood,,664123,mg/dL;,2601-3
50893,"Calcium, Total",Chemistry,Blood,,591932,mg/dL;,2000-8
50970,Phosphate,Chemistry,Blood,,590502,mg/dL;,2777-1
50820,pH,Blood Gas,Blood,,530752,units;UNITS;,11558-4
50802,Base Excess,Blood Gas,Blood,,490651,mEq/L;,11555-0
50804,Calculated Total CO2,Blood Gas,Blood,,490641,mEq/L;MEQ/L;,34728-6
50821,pO2,Blood Gas,Blood,,490628,mm Hg;MM HG;,11556-8
50818,pCO2,Blood Gas,Blood,,490594,mm Hg;MM HG;,11557-6
51275,PTT,Hematology,Blood,,474930,sec;,3173-2
51237,INR(PT),Hematology,Blood,,471176,,5895-7
51274,PT,Hematology,Blood,,469083,SECONDS;sec;,5902-2
50800,SPECIMEN TYPE,BLOOD GAS,BLOOD,,404785,,
50808,Free Calcium,Blood Gas,Blood,,249110,mmol/L;,1994-3
50885,"Bilirubin, Total",Chemistry,Blood,,238263,mg/dL;,1975-2
50861,Alanine Aminotransferase (ALT),Chemistry,Blood,,219462,IU/L;,1742-6
50878,Asparate Aminotransferase (AST),Chemistry,Blood,,219452,IU/L;,1920-8
50863,Alkaline Phosphatase,Chemistry,Blood,,207847,IU/L;,6768-6
50809,Glucose,Blood Gas,Blood,,196736,mg/dL;,2339-0
50822,"Potassium, Whole Blood",Blood Gas,Blood,,192949,mEq/L;,6298-4
50813,Lactate,Blood Gas,Blood,yes,187116,mmol/L;,32693-4
50817,Oxygen Saturation,Blood Gas,Blood,,173418,;%,20564-1
51244,Lymphocytes,Hematology,Blood,,172131,%;,731-0
51256,Neutrophils,Hematology,Blood,,172131,%;,761-7
51254,Monocytes,Hematology,Blood,,172130,%;,742-7
51200,Eosinophils,Hematology,Blood,,172126,%;,711-2
51146,Basophils,Hematology,Blood,,172124,%;,704-7
50812,Intubated,Blood Gas,Blood,,163680,,
50862,Albumin,Chemistry,Blood,,146694,g/dL;,1751-7
50910,Creatine Kinase (CK),Chemistry,Blood,,132400,IU/L;,2157-6
50825,Temperature,Blood Gas,Blood,,129444,,
50816,Oxygen,Blood Gas,Blood,,127960,;%,19994-3
51491,pH,Hematology,Urine,,116081,units;,5803-2
51498,Specific Gravity,Hematology,Urine,,115858, ;,5811-5
50911,"Creatine Kinase, MB Isoenzyme",Chemistry,Blood,,115802,ng/mL;,6773-6
50954,Lactate Dehydrogenase (LD),Chemistry,Blood,,107120,IU/L,2532-0
51492,Protein,Hematology,Urine,,106412,mg/dL;,5804-0
51514,Urobilinogen,Hematology,Urine,,101817,EU/dL;mg/dL;,5818-0
51484,Ketone,Hematology,Urine,,101624,mg/dL;,5797-6
51478,Glucose,Hematology,Urine,,101280,mg/dL;,5792-7
51508,Urine Color,Hematology,Urine,,100377,,5778-6
51506,Urine Appearance,Hematology,Urine,,99838,,5767-9
51466,Blood,Hematology,Urine,,99726,mg/dL;,5794-3
51464,Bilirubin,Hematology,Urine,,99680,EU/dL;mg/dL;,5770-3
51487,Nitrite,Hematology,Urine,,99675,,5802-4
51486,Leukocytes,Hematology,Urine,,97625,,5799-2
50810,"Hematocrit, Calculated",Blood Gas,Blood,,89715,%;,20570-8
50811,Hemoglobin,Blood Gas,Blood,,89712,g/dL;,718-7
51003,Troponin T,Chemistry,Blood,,87238,ng/mL;ng/ml,6598-7
50819,PEEP,Blood Gas,Blood,,86911,,20077-4
51519,Yeast,Hematology,Urine,,85457,,5822-2
51516,WBC,Hematology,Urine,,84682,#/hpf;,5821-4
51493,RBC,Hematology,Urine,,84278,#/hpf;,5808-1
50826,Tidal Volume,Blood Gas,Blood,,83805,,20112-9
51476,Epithelial Cells,Hematology,Urine,,83200,#/hpf;,5787-7
50827,Ventilation Rate,Blood Gas,Blood,,77611,,
51144,Bands,Hematology,Blood,,75587,%;,763-3
51463,Bacteria,Hematology,Urine,,73412,,5769-5
50824,"Sodium, Whole Blood",Blood Gas,Blood,,71504,mEq/L;,2947-0
50956,Lipase,Chemistry,Blood,,65373,IU/L,3040-3
50867,Amylase,Chemistry,Blood,,63664,IU/L,1798-8
50920,Estimated GFR (MDRD equation),Chemistry,Blood,,63253,,33914-3
51233,Hypochromia,Hematology,Blood,,61634,,728-6
51137,Anisocytosis,Hematology,Blood,,61381,,702-1
51246,Macrocytes,Hematology,Blood,,60837,,738-5
50828,Ventilator,Blood Gas,Blood,,60544,,
51143,Atypical Lymphocytes,Hematology,Blood,,59334,%;,733-6
51251,Metamyelocytes,Hematology,Blood,,59206,%;,28541-1
51255,Myelocytes,Hematology,Blood,,59158,%;,26498-6
51252,Microcytes,Hematology,Blood,,58059,,741-9
51267,Poikilocytosis,Hematology,Blood,,55886,,779-9
51009,Vancomycin,Chemistry,Blood,,54728,ug/mL;,20578-1
50806,"Chloride, Whole Blood",Blood Gas,Blood,,48188,mEq/L;,2069-3
51268,Polychromasia,Hematology,Blood,,47280,,10378-8
51087,Length of Urine Collection,Chemistry,Urine,,46834,,13362-9
51214,"Fibrinogen, Functional",Hematology,Blood,,45935,mg/dL,3255-7
50883,"Bilirubin, Direct",Chemistry,Blood,,45205,mg/dL,1968-7
50884,"Bilirubin, Indirect",Chemistry,Blood,,44385,mg/dL,1971-1
51266,Platelet Smear,Hematology,Blood,,44151,,778-1
51082,"Creatinine, Urine",Chemistry,Urine,,33062,mg/dL;,2161-8
50993,Thyroid Stimulating Hormone,Chemistry,Blood,,28220,uU/ML;uIU/mL;,3016-3
50933,Green Top Hold (plasma),Chemistry,Blood,,26855,,
51100,"Sodium, Urine",Chemistry,Urine,,25990,mEq/L;,2955-3
51000,Triglycerides,Chemistry,Blood,,24987,mg/dL;MG/DL;,1644-4
51218,Granulocyte Count,Hematology,Blood,,24375,#/uL,30394-1
50979,Red Top Hold,Chemistry,Blood,,23831,,
50908,CK-MB Index,Chemistry,Blood,,22911,%;,20569-0
50967,Phenytoin,Chemistry,Blood,,22453,ug/mL,3967-7
50823,Required O2,Blood Gas,Blood,,22057,,
50801,Alveolar-arterial Gradient,Blood Gas,Blood,,22016,;mm Hg,19991-9
50887,Blue Top Hold,Chemistry,Blood,,21880,,
50986,tacroFK,Chemistry,Blood,,21630,ng/mL,
50907,"Cholesterol, Total",Chemistry,Blood,,19444,mg/dL;,2093-3
51093,"Osmolality, Urine",Chemistry,Urine,,18838,mOsm/kg;,2695-5
50964,"Osmolality, Measured",Chemistry,Blood,,18816,mOsm/kg;MOSM/L;MOSM/KG,2692-2
51007,Uric Acid,Chemistry,Blood,,18355,mg/dL;,3084-1
50904,"Cholesterol, HDL",Chemistry,Blood,,18260,mg/dL;,2085-9
50952,Iron,Chemistry,Blood,,18205,ug/dL,2498-4
50903,Cholesterol Ratio (Total/HDL),Chemistry,Blood,,18128,Ratio;,9322-9
50924,Ferritin,Chemistry,Blood,,17946,ng/mL;ng/ml,2276-4
50998,Transferrin,Chemistry,Blood,,17283,mg/dL,2500-7
50953,"Iron Binding Capacity, Total",Chemistry,Blood,,17229,ug/dL,2500-7
50852,% Hemoglobin A1c,Chemistry,Blood,,16618,%,4548-4
51257,Nucleated Red Cells,Hematology,Blood,,16568,%,772-4
50905,"Cholesterol, LDL, Calculated",Chemistry,Blood,,16486,mg/dL;,2090-9
51260,Ovalocytes,Hematology,Blood,,16180,,774-0
51482,Hyaline Casts,Hematology,Urine,,15118,#/lpf,5796-8
51512,Urine Mucous,Hematology,Urine,,14204,,8247-9
50909,Cortisol,Chemistry,Blood,,13554,ug/dL;,2143-6
51104,"Urea Nitrogen, Urine",Chemistry,Urine,,13294,mg/dL,3095-7
50815,O2 Flow,Blood Gas,Blood,,12307,L/min,3151-8
50935,Haptoglobin,Chemistry,Blood,,11970,mg/dL;MG/DL,4542-7
50976,"Protein, Total",Chemistry,Blood,,11935,g/dL,2885-2
51010,Vitamin B12,Chemistry,Blood,,11868,pg/mL,2170-9
51523,GR HOLD,CHEMISTRY,URINE,,11849,,
50880,Benzodiazepine Screen,Chemistry,Blood,,11823,,42662-7
50879,Barbiturate Screen,Chemistry,Blood,,11761,,3376-1
50999,Tricyclic Antidepressant Screen,Chemistry,Blood,,11723,,4073-3
51002,Troponin I,Chemistry,Blood,,11468,ng/ml;,10839-9
51097,"Potassium, Urine",Chemistry,Urine,,10931,mEq/L;,2828-2
51287,Schistocytes,Hematology,Blood,,10339,,800-3
51283,"Reticulocyte Count, Automated",Hematology,Blood,,10073,%,17849-1
50922,Ethanol,Chemistry,Blood,,9864,mg/dL,5642-4
51078,"Chloride, Urine",Chemistry,Urine,,9600,mEq/L;,2078-4
50856,Acetaminophen,Chemistry,Blood,,9560,ug/mL,3297-9
51079,"Cocaine, Urine",Chemistry,Urine,,9387,,3397-7
51075,"Benzodiazepine Screen, Urine",Chemistry,Urine,,9328,,3390-2
51071,"Amphetamine Screen, Urine",Chemistry,Urine,,9310,,3349-8
51092,"Opiate Screen, Urine",Chemistry,Urine,,9308,,3879-4
51074,"Barbiturate Screen, Urine",Chemistry,Urine,,9287,,3377-9
51090,"Methadone, Urine",Chemistry,Urine,,9263,,3773-9
50803,"Calculated Bicarbonate, Whole Blood",Blood Gas,Blood,,9246,mEq/L,1959-6
50919,EDTA Hold,Chemistry,Blood,,9155,,
50981,Salicylate,Chemistry,Blood,,9087,mg/dL,4023-8
51102,"Total Protein, Urine",Chemistry,Urine,,9080,mg/dL,2887-8
